"C:\Program Files\Java\jdk-9.0.1\bin\java" -Dvisualvm.id=170415548485161 -Xms1024m -Xmx4096m "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\lib\idea_rt.jar=53735:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.4\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\project-1\out\production\BasicClassifier;C:\Users\Kenneth\Dropbox\Code\IdeaProjects\BasicClassifier\project-1\lib\libsvm.jar me.mostly.ml.test.sp500.Main ../project-2/data/transposed.csv
Odd val: AES, [180 (10/1/01)] = -0.682890669
Odd val: NFLX, [162 (8/29/01)] = 1.579567308
Odd val: NFLX, [164 (8/31/01)] = -0.699563656
Odd val: NFLX, [165 (9/4/01)] = -0.700066792
Odd val: NFLX, [166 (9/5/01)] = 1.164307166
Odd val: NFLX, [170 (9/17/01)] = -1.154472536
Odd val: NFLX, [175 (9/24/01)] = -0.573170483
Odd val: NFLX, [181 (10/2/01)] = -1.300518293
Odd val: NFLX, [185 (10/8/01)] = 1.075047788
Odd val: NFLX, [187 (10/10/01)] = -0.887303314
Odd val: NFLX, [190 (10/15/01)] = -0.723650329
Odd val: NFLX, [197 (10/24/01)] = -0.763305122
Odd val: NFLX, [199 (10/26/01)] = 1.208457521
Odd val: NFLX, [202 (10/31/01)] = -1.432476649
Odd val: NFLX, [203 (11/1/01)] = 1.375691319
Odd val: NFLX, [207 (11/7/01)] = -1.31690883
Odd val: NFLX, [208 (11/8/01)] = 1.256836419
Odd val: NFLX, [210 (11/12/01)] = -0.783402139
Odd val: NFLX, [214 (11/16/01)] = -1.032324183
Odd val: NFLX, [216 (11/20/01)] = 1.012513488
Odd val: NFLX, [220 (11/27/01)] = -1.292867443
Odd val: NFLX, [224 (12/3/01)] = -1.371646857
Odd val: NFLX, [227 (12/6/01)] = -0.599166417
Odd val: NFLX, [228 (12/7/01)] = 1.377673446
Odd val: NFLX, [231 (12/12/01)] = -1.195368913
Odd val: NFLX, [249 (1/9/02)] = -0.999083019
Odd val: NFLX, [255 (1/17/02)] = -1.337014634
Odd val: NFLX, [256 (1/18/02)] = 1.036696108
Odd val: NFLX, [260 (1/25/02)] = -0.568409397
Odd val: NFLX, [271 (2/11/02)] = -1.461899139
Odd val: NFLX, [275 (2/15/02)] = -1.005522505
Odd val: NFLX, [279 (2/22/02)] = -0.947660838
Odd val: NFLX, [282 (2/27/02)] = -0.679656888
Odd val: NFLX, [284 (3/1/02)] = 1.301465346
Odd val: NFLX, [294 (3/15/02)] = -0.806054228
Odd val: NFLX, [296 (3/19/02)] = -0.939139222
Odd val: NFLX, [299 (3/22/02)] = -0.85616643
Odd val: NFLX, [301 (3/26/02)] = -0.763608566
Odd val: NFLX, [304 (4/1/02)] = -0.85616643
Odd val: NFLX, [306 (4/3/02)] = -0.516124451
Odd val: NFLX, [307 (4/4/02)] = 1.232432747
Odd val: NFLX, [309 (4/8/02)] = -0.954656601
Odd val: NFLX, [314 (4/15/02)] = 1.006073131
Odd val: NFLX, [320 (4/23/02)] = -1.5049402
Odd val: NFLX, [321 (4/24/02)] = 1.455390068
Odd val: NFLX, [322 (4/25/02)] = -1.224501908
Odd val: NFLX, [323 (4/26/02)] = 1.059589999
Odd val: NFLX, [325 (4/30/02)] = 1.394262131
Odd val: NFLX, [327 (5/2/02)] = -1.332906513
Odd val: NFLX, [329 (5/6/02)] = -0.538927082
Odd val: NFLX, [337 (5/16/02)] = -0.667673737
Odd val: NFLX, [343 (5/24/02)] = -1.939356397
Odd val: NFLX, [949 (10/20/04)] = -0.526048673
Odd val: PCG, [65 (4/11/01)] = -0.552392259
Odd val: PNC, [2021 (1/23/09)] = -0.534364583
Odd val: PCLN, [173 (9/20/01)] = -0.50749784
Odd val: PWR, [372 (7/8/02)] = -1.141076769
Odd val: REGN, [559 (4/3/03)] = -0.833718173
Odd val: RF, [1944 (10/2/08)] = -0.528844152
Odd val: RCL, [173 (9/20/01)] = -0.505400752
Odd val: CRM, [32 (2/23/01)] = -0.521334871
Odd val: CRM, [627 (7/11/03)] = -0.582676792
Odd val: CRM, [822 (4/20/04)] = -0.527682741
Odd val: SEE, [391 (8/2/02)] = -0.540472714
Odd val: STT, [2021 (1/23/09)] = -0.892504269
Odd val: MOS, [1947 (10/7/08)] = -0.532184789
Odd val: ULTA, [8 (1/19/01)] = -0.562608205
Odd val: ULTA, [11 (1/24/01)] = -0.562608205
Odd val: ULTA, [21 (2/7/01)] = -0.515012551
Odd val: ULTA, [23 (2/9/01)] = -0.562608205
Odd val: ULTA, [66 (4/12/01)] = -0.562608205
Odd val: ULTA, [84 (5/9/01)] = -0.562608205
Odd val: ULTA, [118 (6/27/01)] = -0.562608205
Odd val: ULTA, [122 (7/3/01)] = -0.562608205
Odd val: ULTA, [126 (7/10/01)] = -0.515012551
Odd val: ULTA, [129 (7/13/01)] = -0.562608205
Odd val: ULTA, [158 (8/23/01)] = -0.515012551
Odd val: ULTA, [163 (8/30/01)] = -0.515012551
Odd val: ULTA, [165 (9/4/01)] = -0.562608205
Odd val: ULTA, [169 (9/10/01)] = -0.515012551
Odd val: ULTA, [187 (10/10/01)] = -0.515012551
Odd val: ULTA, [208 (11/8/01)] = -0.562608205
Odd val: ULTA, [232 (12/13/01)] = -0.562608205
Odd val: ULTA, [238 (12/21/01)] = -0.562608205
Odd val: ULTA, [242 (12/28/01)] = -0.515012551
Odd val: ULTA, [270 (2/8/02)] = -0.515012551
Odd val: ULTA, [275 (2/15/02)] = -0.640870613
Odd val: ULTA, [282 (2/27/02)] = -0.595002837
Odd val: ULTA, [295 (3/18/02)] = -0.566541497
Odd val: ULTA, [507 (1/17/03)] = -0.757161781
Odd val: UAL, [293 (3/14/02)] = -0.583146285
Odd val: UAL, [342 (5/23/02)] = -0.618597024
Odd val: UAL, [359 (6/18/02)] = -0.529402009
Odd val: UAL, [363 (6/24/02)] = -0.505854611
Odd val: UAL, [383 (7/23/02)] = -0.505797329
Odd val: UAL, [417 (9/10/02)] = -0.530628251
Odd val: UAL, [419 (9/12/02)] = -0.630273939
Odd val: UAL, [427 (9/24/02)] = -0.620436833
Odd val: UAL, [434 (10/3/02)] = -0.655186418
Odd val: UAL, [455 (11/1/02)] = -0.550932665
Odd val: VRSN, [326 (5/1/02)] = -0.612092815
Odd val: WMB, [385 (7/25/02)] = -0.942803094
Odd val: WMB, [386 (7/26/02)] = -0.524178053
Odd val: WYNN, [54 (3/27/01)] = -0.695408187
Odd val: WYNN, [379 (7/17/02)] = -0.590930111
Odd val: WYNN, [418 (9/11/02)] = -0.741726509
Odd val: XL, [1952 (10/14/08)] = -0.77223033

Testing [HOG, MCO, CSX, BEN, FOXA, HRB, ATVI, LRCX, SBUX, KIM, WU, ULTA, MU, GE, LVLT, WDC, AIZ, NEM, CCL, BWA, MAT, HD, PRU, WLTW, COO, BMY, LLY, ZION, HON, NOC, KHC, CELG, KMX, AAP, YHOO, UPS, DISCA, CTXS, DLTR, FBHS, CHRW, KR, CVX, CBG, ES, VRTX, ARNC, MPC, QRVO, FTV]
Training for parameters: C=100.0, RBF kernel (gamma=0.2)
Training for parameters: C=20.0, poly kernel (gamma=1.0, coef0=1.0, degree=4)
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=2)
Training for parameters: C=0.5, poly kernel (gamma=1.0, coef0=1.0, degree=4)
..*
optimization finished, #iter = 1191
nu = 0.10748992393068971
obj = -48.75800226559189, rho = 0.2025345455766753
nSV = 389, nBSV = 1
Total nSV = 389
....*
optimization finished, #iter = 1341
nu = 0.0014148778083356134
obj = -6.4093971451025835, rho = 0.1368532930251222
nSV = 394, nBSV = 0
Total nSV = 394
.*
optimization finished, #iter = 978
nu = 0.027205233365381346
obj = -616.2064161251508, rho = 0.33299343395587583
nSV = 407, nBSV = 0
Total nSV = 407
.*
optimization finished, #iter = 1301
nu = 0.05610870331115862
obj = -6.402254223085918, rho = 0.18972714219150769
nSV = 394, nBSV = 1
Total nSV = 394
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=3)
Training for parameters: C=20.0, poly kernel (gamma=1.0, coef0=1.0, degree=5)
Training for parameters: C=0.5, poly kernel (gamma=1.0, coef0=1.0, degree=5)
Training for parameters: C=100.0, RBF kernel (gamma=0.5)
.....*
optimization finished, #iter = 1406
nu = 6.470103294622669E-4
obj = -2.9309567284542313, rho = 0.11515533459163954
nSV = 395, nBSV = 0
Total nSV = 395
..*
optimization finished, #iter = 1406
nu = 0.02588041317849068
obj = -2.9309567284542313, rho = 0.11515533459163954
nSV = 395, nBSV = 0
Total nSV = 395
.*
optimization finished, #iter = 1191
nu = 0.03517724699810369
obj = -15.935295619057719, rho = 0.16155986330727515
nSV = 394, nBSV = 0
Total nSV = 394
Training for parameters: C=20.0, poly kernel (gamma=1.0, coef0=1.0, degree=6)
Training for parameters: C=0.5, poly kernel (gamma=1.0, coef0=1.0, degree=6)
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=4)
.*
optimization finished, #iter = 901
nu = 0.013455488257409234
obj = -304.76590555894273, rho = 0.20084540974066792
nSV = 432, nBSV = 0
Total nSV = 432
Training for parameters: C=100.0, RBF kernel (gamma=1.0)
......*.
optimization finished, #iter = 1564
nu = 3.2378572979688356E-4
obj = -1.466749377406027, rho = 0.09391337352864147
nSV = 393, nBSV = 0
Total nSV = 393
*
optimization finished, #iter = 1564
nu = 0.012951429191875342
obj = -1.466749377406027, rho = 0.09391337352864147
nSV = 393, nBSV = 0
Total nSV = 393
.*
optimization finished, #iter = 1341
nu = 0.014148778083356134
obj = -6.4093971451025835, rho = 0.1368532930251222
nSV = 394, nBSV = 0
Total nSV = 394
Training for parameters: C=0.5, poly kernel (gamma=1.0, coef0=1.0, degree=7)
Training for parameters: C=20.0, poly kernel (gamma=1.0, coef0=1.0, degree=7)
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=5)
.*
optimization finished, #iter = 847
nu = 0.00980888291782693
obj = -222.1674702527469, rho = 0.13476594645477322
nSV = 445, nBSV = 0
Total nSV = 445
Training for parameters: C=100.0, RBF kernel (gamma=2.0)
.....*
optimization finished, #iter = 1763
nu = 1.7347199799504776E-4
obj = -0.7858281537918057, rho = 0.07269761166122395
nSV = 390, nBSV = 0
Total nSV = 390
...*
optimization finished, #iter = 1406
nu = 0.00647010329462267
obj = -2.9309567284542313, rho = 0.11515533459163954
nSV = 395, nBSV = 0
Total nSV = 395
.*
optimization finished, #iter = 1763
nu = 0.00693887991980191
obj = -0.7858281537918057, rho = 0.07269761166122395
nSV = 390, nBSV = 0
Total nSV = 390
Training for parameters: C=20.0, poly kernel (gamma=1.0, coef0=1.0, degree=8)
Training for parameters: C=0.5, poly kernel (gamma=1.0, coef0=1.0, degree=8)
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=6)
.*
optimization finished, #iter = 844
nu = 0.008952316287079608
obj = -202.7709720688273, rho = 0.09047843248183303
nSV = 444, nBSV = 0
Total nSV = 444
Training for parameters: C=1000.0, linear kernel
.........*
optimization finished, #iter = 2262
nu = 0.003924004432296336
obj = -0.4443935019634623, rho = 0.051660079239478386
nSV = 388, nBSV = 0
Total nSV = 388
*
optimization finished, #iter = 2262
nu = 9.810011080740839E-5
obj = -0.4443935019634623, rho = 0.051660079239478386
nSV = 388, nBSV = 0
Total nSV = 388
..*
optimization finished, #iter = 1564
nu = 0.0032378572979688356
obj = -1.466749377406027, rho = 0.09391337352864147
nSV = 393, nBSV = 0
Total nSV = 393
Training for parameters: C=20.0, poly kernel (gamma=1.0, coef0=1.0, degree=9)
Training for parameters: C=0.5, poly kernel (gamma=1.0, coef0=1.0, degree=9)
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=7)
...*
optimization finished, #iter = 1394
nu = 0.0010275495090418761
obj = -232.74372834110872, rho = 0.3090192252910778
nSV = 369, nBSV = 0
Total nSV = 369
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=2)
......*
optimization finished, #iter = 2226
nu = 0.002319031666528349
obj = -0.26263033624116444, rho = 0.03071609057914218
nSV = 382, nBSV = 0
Total nSV = 382
....*
optimization finished, #iter = 2226
nu = 5.797579166320872E-5
obj = -0.26263033624116444, rho = 0.03071609057914218
nSV = 382, nBSV = 0
Total nSV = 382
.*
optimization finished, #iter = 1763
nu = 0.0017347199799504776
obj = -0.7858281537918057, rho = 0.07269761166122395
nSV = 390, nBSV = 0
Total nSV = 390
Training for parameters: C=0.5, poly kernel (gamma=1.0, coef0=1.0, degree=10)
Training for parameters: C=20.0, poly kernel (gamma=1.0, coef0=1.0, degree=10)
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=8)
..*
optimization finished, #iter = 1212
nu = 2.1528105454210437E-4
obj = -48.76130553744694, rho = 0.20070745734069148
nSV = 389, nBSV = 0
Total nSV = 389
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=3)
.......*
optimization finished, #iter = 2400
nu = 0.0014214616245630488
obj = -0.16098052898300805, rho = 0.009437133861435262
nSV = 381, nBSV = 0
Total nSV = 381
.....*
optimization finished, #iter = 2400
nu = 3.553654061407622E-5
obj = -0.16098052898300805, rho = 0.009437133861435262
nSV = 381, nBSV = 0
Total nSV = 381
..*
optimization finished, #iter = 2262
nu = 9.81001108074084E-4
obj = -0.4443935019634623, rho = 0.051660079239478386
nSV = 388, nBSV = 0
Total nSV = 388
Training for parameters: C=0.5, RBF kernel (gamma=0.1)
Training for parameters: C=20.0, RBF kernel (gamma=0.1)
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=9)
..*
optimization finished, #iter = 1191
nu = 7.035449399620738E-5
obj = -15.935295619057719, rho = 0.16155986330727515
nSV = 394, nBSV = 0
Total nSV = 394
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=4)
....*
optimization finished, #iter = 1051
nu = 0.25288479007608966
obj = -1166.9328758612091, rho = 0.5160088413978549
nSV = 390, nBSV = 7
.Total nSV = 390
.*
optimization finished, #iter = 2226
nu = 5.797579166320873E-4
obj = -0.26263033624116444, rho = 0.03071609057914218
nSV = 382, nBSV = 0
Total nSV = 382
*
optimization finished, #iter = 297
nu = 0.8683790247192976
obj = -170.13862549485876, rho = 0.7275506831462157
nSV = 415, nBSV = 364
Total nSV = 415
Training for parameters: C=2.0, poly kernel (gamma=1.0, coef0=1.0, degree=10)
Training for parameters: C=20.0, RBF kernel (gamma=0.2)
Training for parameters: C=0.5, RBF kernel (gamma=0.2)
..*
optimization finished, #iter = 1341
nu = 2.8297556166712267E-5
obj = -6.4093971451025835, rho = 0.1368532930251222
nSV = 394, nBSV = 0
Total nSV = 394
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=5)
.....*
optimization finished, #iter = 2400
nu = 3.553654061407622E-4
obj = -0.16098052898300805, rho = 0.009437133861435262
nSV = 381, nBSV = 0
Total nSV = 381
..*
optimization finished, #iter = 978
nu = 0.13602616682690674
obj = -616.2064161251508, rho = 0.33299343395587583
nSV = 407, nBSV = 0
Total nSV = 407
Training for parameters: C=2.0, RBF kernel (gamma=0.1)
*
optimization finished, #iter = 342
nu = 0.8385144590096961
obj = -157.3603374335159, rho = 0.6983529793597071
nSV = 416, nBSV = 328
Total nSV = 416
Training for parameters: C=20.0, RBF kernel (gamma=0.5)
Training for parameters: C=0.5, RBF kernel (gamma=0.5)
...*
optimization finished, #iter = 1406
nu = 1.2940206589245339E-5
obj = -2.9309567284542313, rho = 0.11515533459163954
nSV = 395, nBSV = 0
Total nSV = 395
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=6)
.*
optimization finished, #iter = 455
nu = 0.7194248865581804
obj = -496.91359337479275, rho = 0.3755786175823383
nSV = 403, nBSV = 251
Total nSV = 403
.*
optimization finished, #iter = 901
nu = 0.06727744128704617
obj = -304.76590555894273, rho = 0.20084540974066792
nSV = 432, nBSV = 0
Total nSV = 432
Training for parameters: C=1.0, poly kernel (gamma=1.0, coef0=1.0, degree=8)
*
optimization finished, #iter = 387
nu = 0.8217351195613425
obj = -144.43617949893388, rho = 0.6292576154456974
nSV = 420, nBSV = 290
Total nSV = 420
Training for parameters: C=20.0, RBF kernel (gamma=1.0)
.Training for parameters: C=0.5, RBF kernel (gamma=1.0)
..*
optimization finished, #iter = 1564
nu = 6.475714595937672E-6
obj = -1.466749377406027, rho = 0.09391337352864147
nSV = 393, nBSV = 0
Total nSV = 393
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=7)
....*
optimization finished, #iter = 2262
nu = 0.001962002216148168
obj = -0.4443935019634623, rho = 0.051660079239478386
nSV = 388, nBSV = 0
Total nSV = 388
Training for parameters: C=1.0, poly kernel (gamma=1.0, coef0=1.0, degree=9)
.*
optimization finished, #iter = 847
nu = 0.04904441458913465
obj = -222.1674702527469, rho = 0.13476594645477322
nSV = 445, nBSV = 0
Total nSV = 445
.*
optimization finished, #iter = 451
nu = 0.8476700893251803
obj = -141.4771615635345, rho = 0.5733231789797723
nSV = 437, nBSV = 272
Total nSV = 437
Training for parameters: C=20.0, RBF kernel (gamma=2.0)
..*
optimization finished, #iter = 1763
nu = 3.469439959900955E-6
obj = -0.7858281537918057, rho = 0.07269761166122395
nSV = 390, nBSV = 0
Total nSV = 390
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=8)
Training for parameters: C=0.5, RBF kernel (gamma=2.0)
....*
optimization finished, #iter = 2226
nu = 0.0011595158332641745
obj = -0.26263033624116444, rho = 0.03071609057914218
nSV = 382, nBSV = 0
Total nSV = 382
Training for parameters: C=1.0, poly kernel (gamma=1.0, coef0=1.0, degree=10)
..*
optimization finished, #iter = 844
nu = 0.04476158143539804
obj = -202.7709720688273, rho = 0.09047843248183303
nSV = 444, nBSV = 0
Total nSV = 444
...*
optimization finished, #iter = 2262
nu = 1.9620022161481677E-6
obj = -0.4443935019634623, rho = 0.051660079239478386
nSV = 388, nBSV = 0
Total nSV = 388
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=9)
.*
optimization finished, #iter = 479
nu = 0.8697571743929366
obj = -146.6381155624288, rho = 0.5474979912972529
nSV = 444, nBSV = 244
Total nSV = 444
Training for parameters: C=50.0, linear kernel
Training for parameters: C=1.0, linear kernel
.....*
optimization finished, #iter = 2400
nu = 7.107308122815244E-4
obj = -0.16098052898300805, rho = 0.009437133861435262
nSV = 381, nBSV = 0
Total nSV = 381
Training for parameters: C=1.0, RBF kernel (gamma=0.1)
.....*
optimization finished, #iter = 1394
nu = 0.020550990180837524
obj = -232.74372834110872, rho = 0.3090192252910778
nSV = 369, nBSV = 0
Total nSV = 369
..*
optimization finished, #iter = 2226
nu = 1.1595158332641746E-6
obj = -0.26263033624116444, rho = 0.03071609057914218
nSV = 382, nBSV = 0
Total nSV = 382
Training for parameters: C=50.0, poly kernel (gamma=1.0, coef0=1.0, degree=2)
Training for parameters: C=1000.0, poly kernel (gamma=1.0, coef0=1.0, degree=10)
.*
optimization finished, #iter = 804
nu = 0.5488931969982828
obj = -164.44906001623892, rho = 0.5396131533534946
nSV = 376, nBSV = 147
Total nSV = 376
Training for parameters: C=1.0, poly kernel (gamma=1.0, coef0=1.0, degree=2)
*
optimization finished, #iter = 362
nu = 0.8030642470637596
obj = -298.32122405927333, rho = 0.541255038542778
nSV = 408, nBSV = 313
Total nSV = 408
Training for parameters: C=1.0, RBF kernel (gamma=0.2)
......*
optimization finished, #iter = 2400
nu = 7.107308122815243E-7
obj = -0.16098052898300805, rho = 0.009437133861435262
nSV = 381, nBSV = 0
Total nSV = 381
.*
optimization finished, #iter = 1212
nu = 0.004305621090842087
obj = -48.76130553744694, rho = 0.20070745734069148
nSV = 389, nBSV = 0
Total nSV = 389
Training for parameters: C=1000.0, RBF kernel (gamma=0.1)
Training for parameters: C=50.0, poly kernel (gamma=1.0, coef0=1.0, degree=3)
..*
optimization finished, #iter = 1145
nu = 0.20475428459140213
obj = -47.85364118761856, rho = 0.338322037188148
nSV = 386, nBSV = 6
Total nSV = 386
Training for parameters: C=1.0, poly kernel (gamma=1.0, coef0=1.0, degree=3)
*
optimization finished, #iter = 410
nu = 0.7628549226116349
obj = -264.6406292911399, rho = 0.46450893114221586
nSV = 405, nBSV = 270
Total nSV = 405
Training for parameters: C=1.0, RBF kernel (gamma=0.5)
...*
optimization finished, #iter = 1074
nu = 0.005191210474410485
obj = -1175.8288779684867, rho = 0.5065093637164766
nSV = 388, nBSV = 0
Total nSV = 388
.*
optimization finished, #iter = 1191
nu = 0.0014070898799241477
obj = -15.935295619057719, rho = 0.16155986330727515
nSV = 394, nBSV = 0
Total nSV = 394
Training for parameters: C=50.0, poly kernel (gamma=1.0, coef0=1.0, degree=4)
Training for parameters: C=1000.0, RBF kernel (gamma=0.2)
..*
optimization finished, #iter = 1191
nu = 0.07035449399620738
obj = -15.935295619057719, rho = 0.16155986330727515
nSV = 394, nBSV = 0
Total nSV = 394
Training for parameters: C=1.0, poly kernel (gamma=1.0, coef0=1.0, degree=4)
.*
optimization finished, #iter = 535
nu = 0.7347199750670131
obj = -222.09300260955865, rho = 0.3248256171329288
nSV = 425, nBSV = 211
Total nSV = 425
.Training for parameters: C=1.0, RBF kernel (gamma=1.0)
.*
optimization finished, #iter = 1341
nu = 5.659511233342454E-4
obj = -6.4093971451025835, rho = 0.1368532930251222
nSV = 394, nBSV = 0
Total nSV = 394
..*
optimization finished, #iter = 978
nu = 0.0027205233365381345
obj = -616.2064161251508, rho = 0.33299343395587583
nSV = 407, nBSV = 0
Total nSV = 407
Training for parameters: C=50.0, poly kernel (gamma=1.0, coef0=1.0, degree=5)
..*
optimization finished, #iter = 1341
nu = 0.028297556166712267
obj = -6.4093971451025835, rho = 0.1368532930251222
nSV = 394, nBSV = 0
Total nSV = 394
Training for parameters: C=1000.0, RBF kernel (gamma=0.5)
Training for parameters: C=1.0, poly kernel (gamma=1.0, coef0=1.0, degree=5)
...*
optimization finished, #iter = 1406
nu = 2.588041317849068E-4
obj = -2.9309567284542313, rho = 0.11515533459163954
nSV = 395, nBSV = 0
Total nSV = 395
.*
optimization finished, #iter = 579
nu = 0.7464651981693649
obj = -200.4609261180283, rho = 0.2332288442284989
nSV = 439, nBSV = 182
Total nSV = 439
Training for parameters: C=50.0, poly kernel (gamma=1.0, coef0=1.0, degree=6)
Training for parameters: C=1.0, RBF kernel (gamma=2.0)
..*
optimization finished, #iter = 901
nu = 0.0013455488257409236
obj = -304.76590555894273, rho = 0.20084540974066792
nSV = 432, nBSV = 0
Total nSV = 432
..*
optimization finished, #iter = 1406
nu = 0.01294020658924534
obj = -2.9309567284542313, rho = 0.11515533459163954
nSV = 395, nBSV = 0
Total nSV = 395
Training for parameters: C=1.0, poly kernel (gamma=1.0, coef0=1.0, degree=6)
Training for parameters: C=1000.0, RBF kernel (gamma=1.0)
...*
optimization finished, #iter = 1564
nu = 1.2951429191875342E-4
obj = -1.466749377406027, rho = 0.09391337352864147
nSV = 393, nBSV = 0
Total nSV = 393
